,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
0,511,32464.0,16.0,48.0
1,511,32464.0,16.0,48.0
2,511,32464.0,16.0,48.0
3,511,32464.0,16.0,48.0
4,511,32464.0,16.0,48.0
5,511,32464.0,16.0,48.0
6,511,32464.0,16.0,48.0
7,511,32464.0,16.0,48.0
8,511,32464.0,16.0,48.0
9,511,32464.0,16.0,48.0
10,511,32464.0,16.0,48.0
11,511,32464.0,16.0,48.0
12,511,32464.0,16.0,48.0
13,511,32464.0,16.0,48.0
14,511,32464.0,16.0,48.0
15,511,32464.0,16.0,48.0
16,511,32464.0,16.0,48.0
17,511,32464.0,16.0,48.0
18,511,32464.0,16.0,48.0
19,511,32464.0,16.0,48.0
20,511,32464.0,16.0,48.0
21,511,32464.0,16.0,48.0
22,511,32464.0,16.0,48.0
23,511,32464.0,16.0,48.0
24,511,32464.0,16.0,48.0
25,511,32464.0,16.0,48.0
26,511,32464.0,16.0,48.0
27,511,32464.0,16.0,48.0
28,511,32464.0,16.0,48.0
29,511,32464.0,16.0,48.0
30,511,32464.0,16.0,48.0
31,511,32464.0,16.0,48.0
32,511,32464.0,16.0,48.0
33,511,32464.0,16.0,48.0
34,511,32464.0,16.0,48.0
35,511,32464.0,16.0,48.0
36,511,32464.0,16.0,48.0
37,511,32464.0,16.0,48.0
38,511,32464.0,16.0,48.0
39,511,32464.0,16.0,48.0
40,511,32464.0,16.0,48.0
41,511,32464.0,16.0,48.0
42,511,32464.0,16.0,48.0
43,511,32464.0,16.0,48.0
44,511,32464.0,16.0,48.0
45,511,32464.0,16.0,48.0
46,511,32464.0,16.0,48.0
47,511,32464.0,16.0,48.0
48,511,32464.0,16.0,48.0
49,511,32464.0,16.0,48.0
50,511,32464.0,16.0,48.0
51,511,32464.0,16.0,48.0
52,511,32464.0,16.0,48.0
53,511,32464.0,16.0,48.0
54,511,32464.0,16.0,48.0
55,511,32464.0,16.0,48.0
56,511,32464.0,16.0,48.0
57,511,32464.0,16.0,48.0
58,511,32464.0,16.0,48.0
59,511,32464.0,16.0,48.0
60,511,32464.0,16.0,48.0
61,511,32464.0,16.0,48.0
62,511,32464.0,16.0,48.0
63,511,32464.0,16.0,48.0
64,511,32464.0,16.0,48.0
65,511,32464.0,16.0,48.0
66,511,32464.0,16.0,48.0
67,511,32464.0,16.0,48.0
68,511,32464.0,16.0,48.0
69,511,32464.0,16.0,48.0
70,511,32464.0,16.0,48.0
71,511,32464.0,16.0,48.0
72,511,32464.0,16.0,48.0
73,511,32464.0,16.0,48.0
74,511,32464.0,16.0,48.0
75,511,32464.0,16.0,48.0
76,511,32464.0,16.0,48.0
77,511,32464.0,16.0,48.0
78,511,32464.0,16.0,48.0
79,511,32464.0,16.0,48.0
80,511,32464.0,16.0,48.0
81,511,32464.0,16.0,48.0
82,511,32464.0,16.0,48.0
83,511,32464.0,16.0,48.0
84,511,32464.0,16.0,48.0
85,511,32464.0,16.0,48.0
86,511,32464.0,16.0,48.0
87,511,32464.0,16.0,48.0
88,511,32464.0,16.0,48.0
89,511,32464.0,16.0,48.0
90,511,32464.0,16.0,48.0
91,511,32464.0,16.0,48.0
92,511,32464.0,16.0,48.0
93,511,32464.0,16.0,48.0
94,511,32464.0,16.0,48.0
95,511,32464.0,16.0,48.0
96,511,32464.0,16.0,48.0
97,511,32464.0,16.0,48.0
98,511,32464.0,16.0,48.0
99,511,32464.0,16.0,48.0
100,511,32464.0,16.0,48.0
101,511,32464.0,16.0,48.0
102,511,32464.0,16.0,48.0
103,511,32464.0,16.0,48.0
104,511,32464.0,16.0,48.0
105,511,32464.0,16.0,48.0
106,511,32464.0,16.0,48.0
107,511,32464.0,16.0,48.0
108,511,32464.0,16.0,48.0
109,511,32464.0,16.0,48.0
