,n_nrml_fwding_table_entries,n_alt_fwding_table_entries,n_opposite_table_entries,n_state_transition_table_entries
0,31,484.0,4.0,12.0
1,31,484.0,4.0,12.0
2,31,484.0,4.0,12.0
3,31,484.0,4.0,12.0
4,31,484.0,4.0,12.0
5,31,484.0,4.0,12.0
6,31,484.0,4.0,12.0
7,31,484.0,4.0,12.0
8,31,484.0,4.0,12.0
9,31,484.0,4.0,12.0
10,31,484.0,4.0,12.0
11,31,484.0,4.0,12.0
12,31,484.0,4.0,12.0
13,31,484.0,4.0,12.0
14,31,484.0,4.0,12.0
15,31,484.0,4.0,12.0
16,31,484.0,4.0,12.0
17,31,484.0,4.0,12.0
18,31,484.0,4.0,12.0
19,31,484.0,4.0,12.0
20,31,484.0,4.0,12.0
21,31,484.0,4.0,12.0
22,31,484.0,4.0,12.0
23,31,484.0,4.0,12.0
24,31,484.0,4.0,12.0
25,31,484.0,4.0,12.0
26,31,484.0,4.0,12.0
27,31,484.0,4.0,12.0
28,31,484.0,4.0,12.0
29,31,484.0,4.0,12.0
30,31,484.0,4.0,12.0
31,31,484.0,4.0,12.0
32,32,368.0,8.0,24.0
33,32,368.0,8.0,24.0
34,32,368.0,8.0,24.0
35,32,368.0,8.0,24.0
36,32,368.0,8.0,24.0
37,32,368.0,8.0,24.0
38,32,368.0,8.0,24.0
39,32,368.0,8.0,24.0
40,32,368.0,8.0,24.0
41,32,368.0,8.0,24.0
42,32,368.0,8.0,24.0
43,32,368.0,8.0,24.0
44,32,368.0,8.0,24.0
45,32,368.0,8.0,24.0
46,32,368.0,8.0,24.0
47,32,368.0,8.0,24.0
48,32,368.0,8.0,24.0
49,32,368.0,8.0,24.0
50,32,368.0,8.0,24.0
51,32,368.0,8.0,24.0
52,32,368.0,8.0,24.0
53,32,368.0,8.0,24.0
54,32,368.0,8.0,24.0
55,32,368.0,8.0,24.0
56,32,368.0,8.0,24.0
57,32,368.0,8.0,24.0
58,32,368.0,8.0,24.0
59,32,368.0,8.0,24.0
60,32,368.0,8.0,24.0
61,32,368.0,8.0,24.0
62,32,368.0,8.0,24.0
63,32,368.0,8.0,24.0
64,32,64.0,8.0,24.0
65,32,64.0,8.0,24.0
66,32,64.0,8.0,24.0
67,32,64.0,8.0,24.0
68,32,64.0,8.0,24.0
69,32,64.0,8.0,24.0
70,32,64.0,8.0,24.0
71,32,64.0,8.0,24.0
72,32,64.0,8.0,24.0
73,32,64.0,8.0,24.0
74,32,64.0,8.0,24.0
75,32,64.0,8.0,24.0
76,32,64.0,8.0,24.0
77,32,64.0,8.0,24.0
78,32,64.0,8.0,24.0
79,32,64.0,8.0,24.0
